#Session	ID	Occasion	TrapID
1	GD1	51	GD_10
1	GD2	44	GD_40
1	GD2	73	GD_34
1	GD3	8	GD_41
1	GD3	16	GD_41
1	GD3	23	GD_41
1	GD3	36	GD_41
1	GD3	54	GD_41
1	GD4	16	GD_42
1	GD4	27	GD_41
1	MD1	17	MD_9
1	MD1	35	MD_3
1	MD1	61	MD_9
1	MD1	62	MD_3
1	MD1	69	MD_9
1	MD1	74	MD_1
1	MD1	85	MD_4
1	MD1	91	MD_4
1	MD1	103	MD_9
1	MD2	25	MD_9
1	MD2	90	MD_4
1	MD3	11	MD_7
1	MD3	30	MD_23
1	MD3	56	MD_18
1	MD3	77	MD_9
1	MD4	20	MD_9
1	MD4	25	MD_9
1	MD5	10	MD_10
1	MD6	79	MD_10
1	MD6	82	MD_10
1	MD7	82	MD_10
1	MD8	4	MD_11
1	MD8	9	MD_11
1	MD9	31	MD_11
1	MD9	60	MD_20
1	PD1	5	PD_22
1	PG1	43	PG_4
1	PG2	6	PG_4
1	PG2	11	PG_6
1	PG2	16	PG_4
1	PG2	32	PG_4
1	PG2	36	PG_15
1	PG2	45	PG_4
1	PG2	46	PG_12
1	PG2	61	PG_4
1	PG2	62	PG_4
1	PG3	43	PG_4
1	PG4	2	PG_12
1	PG4	12	PG_8
1	PG4	16	PG_12
1	PG5	2	PG_18
1	PG5	16	PG_18
1	PG6	10	PG_19
1	PG7	22	PG_22
1	TD1	22	TD_1
1	TD1	46	TD_2
1	TD3	20	TD_3
1	TD4	19	TD_4
1	TD8	3	TD_12
1	TD9	103	TD_16
1	BFD1	14	BD_1
1	BFD2	52	BD_1
1	BFD3	48	BD_12
1	BFD4	48	BD_12
1	BFD5	33	BD_13
1	BFD6	28	BD_18
1	BFD6	38	BD_18
1	BFD6	59	BD_19
1	BFD7	23	BD_21
1	BFD7	38	BD_21
1	BFD8	15	BD_23
1	BFD8	41	BD_25
1	BFD8	41	BD_37
1	BFD9	10	BD_28
1	BFD9	60	BD_28
1	BFD9	68	BD_25
1	BFD9	68	BD_28
1	BWS1	17	BWS_1
1	BWS2	41	BWS_4
1	BWS3	5	BWS_6
1	BWS3	41	BWS_6
1	BWS4	30	BWS_7
1	BWS6	17	BWS_11
1	BWS6	58	BWS_11
1	BWS7	19	BWS_11
1	BWS8	43	BWS_11
1	BWS9	42	BWS_21
1	DFD1	20	DA_24
1	DFD2	47	DA_10
1	JSW1	19	JWS_16
1	JSW1	20	JWS_17
1	JSW1	35	JWS_17
1	JSW1	65	JWS_16
1	JSW1	66	JWS_15
1	JSW2	19	JWS_16
1	JSW2	74	TD_31
1	JWS2	35	JWS_31
1	JWS3	54	JWS_21
1	JWS3	63	JWS_21
1	JWS4	13	JWS_27
1	JWS4	21	JWS_21
1	JWS4	35	JWS_27
1	JWS4	67	JWS_21
1	JWS5	24	JWS_4
1	JWS5	26	JWS_4
1	JWS5	67	JWS_21
1	JWS6	39	JWS_27
1	JWS6	58	JWS_31
1	JWS6	68	JWS_31
1	JWS7	17	JWS_36
1	JWS7	27	JWS_36
1	JWS7	28	JWS_36
1	JWS8	69	JWS_53
1	JWS8	85	JWS_53
1	JWS8	93	JWS_53
1	JWS9	18	JWS_58
1	JWS9	32	JWS_58
1	JWS9	47	JWS_57
1	MD10	34	MD_14
1	MD10	90	MD_34
1	MD10	104	MD_27
1	MD11	64	MD_15
1	MD12	24	MD_15
1	MD13	44	MD_17
1	MD13	45	MD_17
1	MD14	86	MD_18
1	MD15	86	MD_18
1	MD16	86	MD_18
1	MD17	24	MD_23
1	MD17	36	MD_23
1	MD17	83	MD_23
1	MD17	106	MD_23
1	MD17	108	MD_18
1	MD18	25	MD_19
1	MD18	27	MD_19
1	MD18	62	MD_19
1	MD18	108	MD_19
1	MD19	24	MD_22
1	MD2 	25	MD_9
1	MD20	6	MD_25
1	MD20	16	MD_25
1	MD21	92	MD_28
1	MD22	62	MD_29
1	MD22	63	MD_29
1	MD23	27	MD_31
1	MD24	18	MD_32
1	MD25	28	MD_32
1	MD26	25	MD_33
1	MD26	68	MD_33
1	MD27	69	MD_33
1	MD28	11	MD_37
1	MD29	45	MD_42
1	MD30	43	MD_42
1	MD31	1	MD_43
1	MD31	16	MD_43
