Grid,o1_15,o2_15,o3_15,o4_15,o5_15,o6_15,o7_15,o8_15,o1_21,o2_21,o3_21,o4_21,o5_21,o6_21,o7_21,o8_21,elevation,treecover,strmden,housden,prey_count
483,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1609.580322,0.991165996,3.683586121,2.440000057,44
414,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1701.363403,0.997250378,3.619796276,3.440000057,0
481,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,904.6730957,0.930987537,4.422840595,71.80000305,0
684,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,1645.883057,0.988172948,4.397560596,72.87999725,12
683,0,0,0,0,0,NA,NA,NA,0,0,0,2,0,0,NA,NA,1276.114868,0.967962086,4.522313118,124.6399994,35
551,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,2883.88623,0.952229142,3.847793579,0.800000012,1
759,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,3289.834961,0.840886772,3.056153059,0.159999996,1
755,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,2577.222656,0.997831762,4.160216331,0.319999993,1
761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3511.989502,0.94417578,3.748383522,0.039999999,9
688,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,2186.858398,0.997194827,4.169216156,1.080000043,52
756,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2186.858398,0.997194827,4.298103809,1.080000043,52
757,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2708.428467,0.990812957,4.298103809,0.119999997,52
618,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NA,NA,2167.187012,0.995281875,3.96732688,2.440000057,10
689,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,2047.570313,0.987082481,4.163062572,6.159999847,65
690,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,2889.923096,0.978328407,3.561896086,0.280000001,11
758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2889.923096,0.978328407,3.619263411,0.280000001,11
691,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,2544.26123,0.995666981,4.170924187,1.039999962,12
891,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA,3194.432617,0.87209022,4.634067059,1.159999967,2
959,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3576.290039,0.840219736,3.747082472,2,2
960,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3859.275391,0.5597651,3.870199442,5.320000172,0
962,0,0,NA,NA,NA,NA,NA,NA,0,0,1,0,0,NA,NA,NA,3744.74707,0.654296279,3.76900363,0.400000006,NA
826,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,3487.333984,0.740279853,3.619263411,1.24000001,NA
894,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,3116.055176,0.903806627,3.767169952,8.399999619,NA
895,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,3424.994873,0.907369614,3.767169952,4.920000076,0
963,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3424.994873,0.907369614,3.767169952,4.920000076,0
1030,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3744.74707,0.654296279,3.901379108,0.400000006,NA
1167,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3927.068359,0.463076651,3.748008728,0.400000006,1
1098,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,3280.058594,0.670300364,3.666228294,35.24000168,6
1099,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,3280.058594,0.670300364,4.196643353,35.24000168,6
1100,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,3381.650146,0.90449661,3.450977564,0.479999989,3
1032,0,0,2,0,0,0,0,NA,0,0,0,0,0,0,0,0,3437.732666,0.775146008,3.897197962,23.87999916,2
965,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,3472.563477,0.898246348,4.313510418,2.279999971,0
897,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA,3472.563477,0.898246348,3.439368963,2.279999971,0
896,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3577.345947,0.938347995,4.850063801,2.640000105,2
898,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,3411.233398,0.93523109,3.792900324,2.160000086,0
899,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,3193.732178,0.953108251,3.64454484,2.839999914,9
831,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,3193.732178,0.953108251,3.64454484,2.839999914,0
1239,1,1,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,3244.44751,0.866551042,3.72937274,2.440000057,5
1306,0,0,0,0,0,0,NA,NA,1,0,0,0,0,0,NA,NA,3745.364502,0.634869337,3.72937274,0.560000002,NA
1238,1,3,0,1,NA,NA,NA,NA,0,0,0,0,0,0,0,0,3119.621826,0.901368439,4.372797489,12.92000008,11
1169,0,0,1,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,2822.694092,0.585465491,3.587110043,91.40000153,7
830,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,3411.233398,0.93523109,3.792900324,2.160000086,2
1235,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,3615.132568,0.733831048,3.960308075,0.039999999,1
1236,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,3128.213867,0.801985264,3.630257607,11.52000046,3
1304,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,3128.213867,0.801985264,4.152416706,11.52000046,3
1237,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,4206.742188,NA,3.831598759,0.920000017,NA
1303,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,3387.587891,0.866806746,3.799560547,8.079999924,10
1370,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3387.587891,0.866806746,3.799560547,8.079999924,10
1371,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,NA,NA,NA,3782.695313,0.520120919,3.954632998,1.120000005,4
1372,0,0,2,NA,NA,NA,NA,NA,0,0,1,0,0,NA,NA,NA,3782.695313,0.520120919,3.954632998,1.120000005,4
1307,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3745.364502,0.634869337,4.149604797,0.560000002,NA
1377,1,3,3,2,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,4472.642578,NA,3.891328812,0.280000001,4
1376,0,0,0,0,NA,NA,NA,NA,2,0,0,0,NA,NA,NA,NA,4178.272461,0.390595913,4.047006607,0.319999993,0
1308,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,4351.481934,0.200634092,4.047006607,0.439999998,0
1446,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,3074.484131,0.978944361,4.378163338,0,5
1514,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA,4106.19873,NA,3.93244195,4.079999924,NA
